date,rank,song,artist,last_week,peak_rank,weeks_on_board
2019-12-14,11,Blinding Lights,The Weeknd,11.0,11,4095
2012-08-18,93,Radioactive,Imagine Dragons,93.0,93,3828
2011-09-03,89,Sail,AWOLNATION,89.0,89,3160
2008-05-03,93,I'm Yours,Jason Mraz,93.0,93,2926
1997-06-21,89,How Do I Live,LeAnn Rimes,89.0,89,2415
2013-07-06,32,Counting Stars,OneRepublic,32.0,32,2346
2011-02-12,78,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,88.0,78,2346
1996-11-30,61,Foolish Games/You Were Meant For Me,Jewel,61.0,61,2145
2010-12-25,68,Rolling In The Deep,Adele,97.0,68,2145
2006-09-16,92,Before He Cheats,Carrie Underwood,92.0,92,2080
2005-02-12,92,You And Me,Lifehouse,92.0,92,1953
2020-01-11,74,I Hope,Gabby Barrett Featuring Charlie Puth,74.0,74,1953
2012-06-23,90,Ho Hey,The Lumineers,90.0,90,1953
2013-01-26,99,Demons,Imagine Dragons,99.0,99,1891
2019-09-14,7,Circles,Post Malone,7.0,7,1891
1995-09-02,70,Macarena (Bayside Boys Mix),Los Del Rio,70.0,70,1830
2009-08-29,85,Need You Now,Lady Antebellum,85.0,85,1830
2013-09-21,97,All Of Me,John Legend,89.0,97,1770
2012-01-21,91,Somebody That I Used To Know,Gotye Featuring Kimbra,91.0,91,1770
2017-01-28,1,Shape Of You,Ed Sheeran,1.0,1,1720
1999-07-31,78,Smooth,Santana Featuring Rob Thomas,78.0,78,1711
2014-10-25,69,Thinking Out Loud,Ed Sheeran,69.0,69,1711
2006-04-15,93,How To Save A Life,The Fray,93.0,93,1711
1999-09-11,81,Higher,Creed,81.0,81,1653
2013-10-05,17,Dark Horse,Katy Perry Featuring Juicy J,17.0,17,1653
2011-08-20,85,Lights,Ellie Goulding,99.0,85,1653
2008-10-11,86,Use Somebody,Kings Of Leon,100.0,86,1653
2017-03-25,37,Perfect,Ed Sheeran,37.0,37,1636
2009-06-27,2,I Gotta Feeling,The Black Eyed Peas,2.0,2,1596
1997-11-01,19,I Don't Want To Wait,Paula Cole,19.0,19,1596
2012-03-10,62,Some Nights,fun.,62.0,62,1596
2000-03-11,80,The Way You Love Me,Faith Hill,80.0,80,1596
2014-11-29,65,Uptown Funk!,Mark Ronson Featuring Bruno Mars,65.0,65,1596
1999-06-05,81,Amazed,Lonestar,81.0,81,1540
1996-11-30,85,Barely Breathing,Duncan Sheik,85.0,85,1540
1995-08-12,94,Missing,Everything But The Girl,94.0,94,1540
2014-04-19,68,Stay With Me,Sam Smith,93.0,68,1485
2009-10-17,98,"Hey, Soul Sister",Train,98.0,98,1485
2012-09-01,99,Cruise,Florida Georgia Line Featuring Nelly,99.0,99,1485
2003-03-22,59,Unwell,matchbox twenty,59.0,59,1485
2001-02-10,76,Hanging By A Moment,Lifehouse,76.0,76,1485
2019-05-25,85,Someone You Loved,Lewis Capaldi,85.0,85,1485
2013-07-13,81,Wake Me Up!,Avicii,81.0,81,1485
2001-03-17,77,Drops Of Jupiter (Tell Me),Train,77.0,77,1431
2010-07-24,92,If I Die Young,The Band Perry,92.0,92,1431
2014-11-22,98,Shut Up And Dance,WALK THE MOON,98.0,98,1431
1999-11-06,81,Breathe,Faith Hill,81.0,81,1431
2013-08-31,95,Pompeii,Bastille,95.0,95,1431
2000-04-08,81,Kryptonite,3 Doors Down,81.0,81,1431
1998-02-14,45,Too Close,Next,45.0,45,1431
2018-11-03,9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,9.0,9,1431
2015-03-28,100,See You Again,Wiz Khalifa Featuring Charlie Puth,100.0,100,1378
2016-03-05,81,Cheap Thrills,Sia Featuring Sean Paul,81.0,81,1378
2018-10-20,18,Without Me,Halsey,18.0,18,1378
2020-08-22,82,My Ex's Best Friend,Machine Gun Kelly X blackbear,86.0,82,1378
2018-06-09,98,High Hopes,Panic! At The Disco,90.0,98,1378
2015-06-13,89,Stitches,Shawn Mendes,89.0,89,1378
2018-07-28,56,Eastside,"benny blanco, Halsey & Khalid",56.0,56,1378
2018-05-12,7,Better Now,Post Malone,7.0,7,1378
1997-12-06,36,How's It Going To Be,Third Eye Blind,36.0,36,1378
2016-11-12,100,Say You Won't Let Go,James Arthur,100.0,100,1378
2018-06-09,94,Girls Like You,Maroon 5 Featuring Cardi B,94.0,94,1378
2018-09-01,63,Happier,Marshmello & Bastille,63.0,63,1378
2019-11-16,30,Don't Start Now,Dua Lipa,30.0,30,1378
2020-05-23,76,Go Crazy,Chris Brown & Young Thug,76.0,76,1378
1997-12-06,26,Truly Madly Deeply,Savage Garden,26.0,26,1378
2016-02-27,85,Don't Let Me Down,The Chainsmokers Featuring Daya,81.0,85,1378
2020-08-22,84,Mood,24kGoldn Featuring iann dior,84.0,84,1378
2016-08-20,9,Closer,The Chainsmokers Featuring Halsey,9.0,9,1378
2019-09-14,96,The Bones,Maren Morris,53.0,96,1378
2020-02-08,85,Before You Go,Lewis Capaldi,85.0,85,1378
2015-02-07,86,Trap Queen,Fetty Wap,86.0,86,1378
2016-05-28,1,Can't Stop The Feeling!,Justin Timberlake,1.0,1,1378
2015-05-16,87,Stressed Out,twenty one pilots,95.0,87,1378
2018-08-18,4,Sicko Mode,Travis Scott,4.0,4,1378
2017-11-11,61,Meant To Be,Bebe Rexha & Florida Georgia Line,61.0,61,1369
2017-05-20,70,Thunder,Imagine Dragons,70.0,70,1344
2017-02-25,43,Believer,Imagine Dragons,43.0,43,1332
2017-02-04,88,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,88.0,88,1329
2016-12-10,79,That's What I Like,Bruno Mars,82.0,79,1329
2003-08-30,64,Here Without You,3 Doors Down,64.0,64,1326
2018-03-03,43,Love Lies,Khalid & Normani,43.0,43,1326
2020-02-22,96,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",96.0,96,1326
2008-05-24,15,Viva La Vida,Coldplay,15.0,15,1326
2018-04-21,8,I Like It,"Cardi B, Bad Bunny & J Balvin",8.0,8,1326
2015-03-14,98,Watch Me,Silento,98.0,98,1326
2006-02-18,97,What Hurts The Most,Rascal Flatts,97.0,97,1326
2008-11-22,12,You Belong With Me,Taylor Swift,87.0,12,1275
2014-09-06,1,Shake It Off,Taylor Swift,1.0,1,1275
2016-12-31,83,Congratulations,Post Malone Featuring Quavo,90.0,83,1275
2003-08-23,81,Someday,Nickelback,81.0,81,1275
2019-12-21,35,Adore You,Harry Styles,35.0,35,1275
2012-03-10,38,Call Me Maybe,Carly Rae Jepsen,38.0,38,1275
2018-01-27,84,Tequila,Dan + Shay,87.0,84,1275
2007-06-23,97,Paralyzer,Finger Eleven,97.0,97,1275
2001-09-08,75,How You Remind Me,Nickelback,75.0,75,1225
2008-08-16,76,Just Dance,Lady Gaga Featuring Colby O'Donis,76.0,76,1225
1995-03-25,80,Run-Around,Blues Traveler,80.0,80,1225
2019-04-13,7,Bad Guy,Billie Eilish,7.0,7,1225
2012-09-15,96,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,96.0,96,1225
2006-10-14,94,Rockstar,Nickelback,94.0,94,1225
2011-07-09,8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8.0,8,1225
2008-09-27,16,Love Story,Taylor Swift,16.0,16,1225
2007-05-05,41,Big Girls Don't Cry,Fergie,41.0,41,1176
2013-05-04,94,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,94.0,94,1176
2018-06-16,96,Youngblood,5 Seconds Of Summer,96.0,96,1176
1996-04-06,98,Counting Blue Cars,Dishwalla,98.0,98,1176
2000-05-13,83,I Hope You Dance,Lee Ann Womack,83.0,83,1176
2015-06-13,20,The Hills,The Weeknd,20.0,20,1176
1998-03-21,90,This Kiss,Faith Hill,90.0,90,1176
2007-03-24,93,Teardrops On My Guitar,Taylor Swift,93.0,93,1176
2018-05-26,74,Lucid Dreams,Juice WRLD,74.0,74,1176
2015-04-25,100,Lean On,Major Lazer & DJ Snake Featuring MO,100.0,100,1176
2018-09-29,45,Better,Khalid,45.0,45,1176
2012-04-21,92,Little Talks,Of Monsters And Men,92.0,92,1176
2010-08-07,43,Just The Way You Are,Bruno Mars,43.0,43,1176
2010-09-11,96,F**k You! (Forget You),CeeLo Green,96.0,96,1176
2017-08-19,90,New Rules,Dua Lipa,90.0,90,1155
1997-08-23,25,You Make Me Wanna...,Usher,25.0,25,1128
2007-06-02,91,Bubbly,Colbie Caillat,100.0,91,1128
2014-01-18,98,Happy,Pharrell Williams,98.0,98,1128
2007-04-21,95,Apologize,Timbaland Featuring OneRepublic,95.0,95,1128
2000-05-13,84,With Arms Wide Open,Creed,84.0,84,1128
2010-06-19,26,Dynamite,Taio Cruz,26.0,26,1128
2014-07-26,84,All About That Bass,Meghan Trainor,84.0,84,1128
2012-06-23,93,It's Time,Imagine Dragons,93.0,93,1128
2019-03-16,1,Sucker,Jonas Brothers,1.0,1,1128
1995-12-16,79,Nobody Knows,The Tony Rich Project,79.0,79,1128
2019-06-22,9,No Guidance,Chris Brown Featuring Drake,9.0,9,1081
2019-02-23,44,Talk,Khalid,44.0,44,1081
2004-08-28,60,Breakaway,Kelly Clarkson,60.0,60,1081
2001-04-14,79,It's Been Awhile,Staind,79.0,79,1081
2014-05-24,75,Chandelier,Sia,75.0,75,1081
1996-02-10,12,Follow You Down/Til I Hear It From You,Gin Blossoms,12.0,12,1081
2012-05-12,99,Wanted,Hunter Hayes,99.0,99,1081
1997-12-20,9,Together Again,Janet,9.0,9,1081
2015-11-07,79,Cake By The Ocean,DNCE,79.0,79,1081
2004-12-18,70,Since U Been Gone,Kelly Clarkson,70.0,70,1081
2017-08-26,99,Havana,Camila Cabello Featuring Young Thug,94.0,99,1062
2015-03-21,97,Where Are U Now,Skrillex & Diplo With Justin Bieber,97.0,97,1035
2020-11-07,2,Forever After All,Luke Combs,2.0,2,1035
2016-02-20,91,Needed Me,Rihanna,91.0,91,1035
2003-05-03,98,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,98.0,98,1035
2002-11-23,67,When I'm Gone,3 Doors Down,67.0,67,1035
2006-06-03,54,Chasing Cars,Snow Patrol,54.0,54,1035
2001-11-10,71,Wherever You Will Go,The Calling,71.0,71,1035
2011-04-16,60,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",60.0,60,1035
2005-05-28,74,Feel Good Inc,Gorillaz,74.0,74,1035
2018-10-13,28,Shallow,Lady Gaga & Bradley Cooper,28.0,28,1035
2019-03-16,83,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,83.0,83,1035
1994-05-28,89,100% Pure Love,Crystal Waters,89.0,89,1035
2004-01-10,53,Yeah!,Usher Featuring Lil Jon & Ludacris,53.0,53,1035
2019-01-26,33,Dancing With A Stranger,Sam Smith & Normani,33.0,33,1035
1994-08-27,77,Another Night,Real McCoy,77.0,77,1035
1993-05-29,65,Whoomp! (There It Is),Tag Team,65.0,65,1035
2017-07-08,89,Feel It Still,Portugal. The Man,89.0,89,1008
1994-09-03,90,You Gotta Be,Des'ree,90.0,90,990
2012-01-21,8,I Won't Give Up,Jason Mraz,8.0,8,990
2013-01-12,93,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,93.0,93,990
2012-04-07,68,Too Close,Alex Clare,68.0,68,990
2014-07-12,92,Riptide,Vance Joy,92.0,92,990
1976-01-03,81,Bohemian Rhapsody,Queen,81.0,81,990
2016-12-10,75,Redbone,Childish Gambino,48.0,75,990
1994-10-08,95,Hold My Hand,Hootie & The Blowfish,95.0,95,990
2013-07-20,90,Royals,Lorde,90.0,90,990
1995-06-03,96,As I Lay Me Down,Sophie B. Hawkins,96.0,96,990
2019-08-03,94,Ballin',Mustard & Roddy Ricch,94.0,94,990
1994-02-26,92,Come To My Window,Melissa Etheridge,92.0,92,990
2000-01-01,94,I Wanna Know,Joe,94.0,94,990
2009-09-19,65,Haven't Met You Yet,Michael Buble,90.0,65,990
2019-01-05,47,Wow.,Post Malone,47.0,47,990
1997-07-05,17,Semi-Charmed Life,Third Eye Blind,17.0,17,946
2016-09-17,95,Scars To Your Beautiful,Alessia Cara,95.0,95,946
2003-04-05,71,Headstrong,Trapt,71.0,71,946
2018-07-28,53,You Say,Lauren Daigle,53.0,53,946
2013-08-17,95,Let Her Go,Passenger,95.0,95,946
2004-02-14,66,This Love,Maroon 5,66.0,66,946
2017-01-28,77,Location,Khalid,77.0,77,946
2011-03-12,88,Set Fire To The Rain,Adele,84.0,88,946
2005-04-16,25,Beverly Hills,Weezer,25.0,25,946
1997-06-28,24,Quit Playing Games (With My Heart),Backstreet Boys,24.0,24,946
2005-04-16,81,We Belong Together,Mariah Carey,81.0,81,946
2020-07-18,6,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6.0,6,946
2015-01-10,49,Earned It (Fifty Shades Of Grey),The Weeknd,49.0,49,946
1996-07-20,9,Change The World,Eric Clapton,9.0,9,946
2009-12-19,96,Breakeven,The Script,96.0,96,946
2006-08-05,93,Face Down,The Red Jumpsuit Apparatus,93.0,93,946
2013-05-18,99,Safe And Sound,Capital Cities,99.0,99,946
1982-01-16,90,Tainted Love,Soft Cell,90.0,90,946
2006-02-25,98,Over My Head (Cable Car),The Fray,98.0,98,903
2019-05-18,50,Truth Hurts,Lizzo,50.0,50,903
2020-07-18,52,What You Know Bout Love,Pop Smoke,83.0,52,903
1999-05-01,90,Where My Girls At?,702,90.0,90,903
2012-07-07,42,One More Night,Maroon 5,42.0,42,903
2011-09-17,76,Sexy And I Know It,LMFAO,76.0,76,903
2005-12-10,77,Unwritten,Natasha Bedingfield,77.0,77,903
2020-05-02,9,Rockstar,DaBaby Featuring Roddy Ricch,9.0,9,903
2002-11-09,92,Ignition,R. Kelly,92.0,92,903
2013-03-02,24,Mirrors,Justin Timberlake,24.0,24,903
2019-09-28,91,Hot Girl Bummer,blackbear,91.0,91,903
1997-10-11,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1.0,1,903
1996-03-16,97,C'mon N' Ride It (The Train),Quad City DJ's,97.0,97,903
2015-01-31,8,Sugar,Maroon 5,8.0,8,903
1998-02-14,51,You're Still The One,Shania Twain,51.0,51,903
1994-05-28,88,Wild Night,John Mellencamp With Me'Shell Ndegeocello,88.0,88,903
2011-12-24,53,We Are Young,fun. Featuring Janelle Monae,53.0,53,903
2011-05-21,7,Just A Kiss,Lady Antebellum,7.0,7,903
2013-05-11,61,Brave,Sara Bareilles,100.0,61,903
2000-09-09,82,Can't Fight The Moonlight,LeAnn Rimes,82.0,82,903
2000-10-21,52,If You're Gone,matchbox twenty,52.0,52,903
1996-10-26,22,Un-Break My Heart,Toni Braxton,22.0,22,903
2015-11-14,2,Sorry,Justin Bieber,2.0,2,903
1997-02-22,80,The Freshmen,The Verve Pipe,80.0,80,903
2005-07-02,93,"Sugar, We're Goin' Down",Fall Out Boy,93.0,93,903
2021-05-08,1,Save Your Tears,The Weeknd & Ariana Grande,6.0,1,891
2017-05-20,61,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,61.0,61,869
2017-04-29,74,Unforgettable,French Montana Featuring Swae Lee,74.0,74,866
1977-10-22,87,We Are The Champions,Queen,87.0,87,861
1994-01-01,68,The Sign,Ace Of Base,68.0,68,861
2018-02-24,96,I Like Me Better,Lauv,96.0,96,861
2008-12-13,98,Second Chance,Shinedown,98.0,98,861
2003-09-20,75,White Flag,Dido,75.0,75,861
2021-01-16,100,Heat Waves,Glass Animals,91.0,100,861
2014-08-30,96,Take Me To Church,Hozier,96.0,96,861
2014-05-10,97,Rude,MAGIC!,97.0,97,861
1997-07-12,26,All For You,Sister Hazel,26.0,26,861
1996-06-22,95,I Love You Always Forever,Donna Lewis,95.0,95,861
2011-10-08,16,We Found Love,Rihanna Featuring Calvin Harris,16.0,16,861
2007-11-17,100,Love Song,Sara Bareilles,100.0,100,861
2016-10-29,5,24K Magic,Bruno Mars,5.0,5,861
2019-10-05,22,Memories,Maroon 5,22.0,22,861
2017-02-18,38,Body Like A Back Road,Sam Hunt,38.0,38,861
2015-06-27,24,Can't Feel My Face,The Weeknd,24.0,24,861
2001-07-28,76,Family Affair,Mary J. Blige,76.0,76,861
2015-12-05,4,Love Yourself,Justin Bieber,4.0,4,861
2002-03-02,80,A Thousand Miles,Vanessa Carlton,80.0,80,861
2000-01-22,70,Everything You Want,Vertical Horizon,70.0,70,861
2004-07-24,50,She Will Be Loved,Maroon 5,50.0,50,861
1996-06-08,7,You're Makin' Me High/Let It Flow,Toni Braxton,7.0,7,861
2017-10-07,2,Rockstar,Post Malone Featuring 21 Savage,2.0,2,847
2012-06-09,10,Home,Phillip Phillips,10.0,10,820
2020-10-17,73,Levitating,Dua Lipa Featuring DaBaby,73.0,73,820
2004-03-06,64,If I Ain't Got You,Alicia Keys,64.0,64,820
1993-01-09,86,Dazzey Duks,Duice,86.0,86,820
1977-08-27,89,I Go Crazy,Paul Davis,89.0,89,820
1994-08-06,96,I'm The Only One,Melissa Etheridge,96.0,96,820
1995-11-11,94,I Will Remember You (Live),Sarah McLachlan,94.0,94,820
1996-06-15,98,This Is Your Night,Amber,98.0,98,820
1982-09-18,79,I'm So Excited,The Pointer Sisters,79.0,79,820
1984-01-28,83,Red Red Wine,UB40,83.0,83,820
2009-01-03,92,Poker Face,Lady Gaga,92.0,92,820
2018-02-10,23,The Middle,"Zedd, Maren Morris & Grey",23.0,23,820
2006-07-29,25,Waiting On The World To Change,John Mayer,25.0,25,820
2011-05-14,96,Pumped Up Kicks,Foster The People,96.0,96,820
2007-11-10,91,Low,Flo Rida Featuring T-Pain,91.0,91,820
2006-12-30,93,The Sweet Escape,Gwen Stefani Featuring Akon,93.0,93,820
2005-05-07,95,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,95.0,95,820
2015-07-18,34,679,Fetty Wap Featuring Remy Boyz,34.0,34,820
2009-08-15,56,Sexy Chick,David Guetta Featuring Akon,56.0,56,820
1996-02-10,96,"Insensitive (From ""Bed Of Roses"")",Jann Arden,96.0,96,820
1997-03-01,42,Return Of The Mack,Mark Morrison,42.0,42,820
1999-09-11,77,I Need To Know,Marc Anthony,77.0,77,820
2009-07-18,72,Down,Jay Sean Featuring Lil Wayne,72.0,72,820
2016-03-12,96,Panda,Desiigner,96.0,96,820
2018-09-22,95,Speechless,Dan + Shay,95.0,95,820
2017-05-06,18,Love.,Kendrick Lamar Featuring Zacari,18.0,18,794
2017-05-13,68,Attention,Charlie Puth,68.0,68,785
2005-08-06,87,Dirty Little Secret,The All-American Rejects,91.0,87,780
2006-02-11,100,Move Along,The All-American Rejects,100.0,100,780
2019-11-30,60,Watermelon Sugar,Harry Styles,60.0,60,780
2016-06-25,34,Treat You Better,Shawn Mendes,34.0,34,780
2016-05-07,93,I Hate U I Love U,gnash Featuring Olivia O'Brien,93.0,93,780
2013-10-26,49,Timber,Pitbull Featuring Ke$ha,49.0,49,780
2012-03-31,74,Everybody Talks,Neon Trees,74.0,74,780
2001-01-13,80,Thank You,Dido,80.0,80,780
2001-02-17,75,Drive,Incubus,75.0,75,780
2002-05-04,97,Gimme The Light,Sean Paul,97.0,97,780
2015-07-25,95,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,95.0,95,780
2019-05-25,2,I Don't Care,Ed Sheeran & Justin Bieber,2.0,2,780
2016-04-02,96,Ride,twenty one pilots,96.0,96,780
2012-08-25,23,I Will Wait,Mumford & Sons,23.0,23,780
2019-06-15,99,Trampoline,SHAED,99.0,99,780
2008-07-05,88,Hot N Cold,Katy Perry,88.0,88,780
2014-03-22,88,Fancy,Iggy Azalea Featuring Charli XCX,88.0,88,780
2010-11-06,57,Firework,Katy Perry,57.0,57,780
1989-07-29,81,Bust A Move,Young M.C.,81.0,81,780
2008-05-03,95,Closer,Ne-Yo,95.0,95,780
2016-07-09,14,Heathens,twenty one pilots,14.0,14,780
2018-03-10,2,Psycho,Post Malone Featuring Ty Dolla $ign,2.0,2,780
2011-05-14,98,Super Bass,Nicki Minaj,98.0,98,780
2017-03-11,56,Something Just Like This,The Chainsmokers & Coldplay,56.0,56,780
1995-05-13,58,December,Collective Soul,58.0,58,780
2003-09-27,83,The Way You Move,OutKast Featuring Sleepy Brown,83.0,83,780
2011-03-12,65,Someone Like You,Adele,97.0,65,780
1996-04-06,60,Give Me One Reason,Tracy Chapman,60.0,60,780
2015-11-28,96,My House,Flo Rida,96.0,96,780
2007-09-22,71,No One,Alicia Keys,71.0,71,780
2008-03-01,85,Bleeding Love,Leona Lewis,85.0,85,780
2001-11-03,78,In The End,Linkin Park,78.0,78,780
2013-02-16,97,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,97.0,97,780
2014-06-14,66,Habits (Stay High),Tove Lo,66.0,66,780
2005-07-30,92,Gold Digger,Kanye West Featuring Jamie Foxx,92.0,92,780
2008-12-06,28,You Found Me,The Fray,28.0,28,780
2000-04-29,60,Bent,matchbox twenty,60.0,60,780
2004-10-30,74,"1, 2 Step",Ciara Featuring Missy Elliott,74.0,74,780
1996-07-06,68,Where Do You Go,No Mercy,68.0,68,780
1992-08-15,90,Rhythm Is A Dancer,Snap!,90.0,90,780
2004-01-03,99,Freek-A-Leek,Petey Pablo,99.0,99,780
1960-08-01,49,The Twist,Chubby Checker,49.0,49,780
2001-06-02,82,I Do!!,Toya,82.0,82,780
2021-07-24,4,Levitating,Dua Lipa,3.0,2,776
2004-03-20,62,The Reason,Hoobastank,62.0,62,741
2009-10-24,79,TiK ToK,Ke$ha,79.0,79,741
2010-05-29,89,I Like It,Enrique Iglesias Featuring Pitbull,89.0,89,741
2001-12-22,72,Blurry,Puddle Of Mudd,72.0,72,741
2019-12-21,47,The Box,Roddy Ricch,47.0,47,741
2007-06-16,78,The Way I Are,Timbaland Featuring Keri Hilson,78.0,78,741
2015-07-25,96,Ex's & Oh's,Elle King,96.0,96,741
1996-06-22,24,Twisted,Keith Sweat,24.0,24,741
2019-11-30,75,Falling,Trevor Daniel,75.0,75,741
2005-02-12,73,Scars,Papa Roach,73.0,73,741
2018-03-17,17,Sad!,XXXTENTACION,17.0,17,741
2005-02-12,40,Mr. Brightside,The Killers,40.0,40,741
2004-06-26,94,Goodies,Ciara Featuring Petey Pablo,94.0,94,741
2005-08-27,92,Run It!,Chris Brown,92.0,92,741
1985-10-19,80,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,80.0,80,741
2020-09-05,95,You Broke Me First.,Tate McRae,95.0,95,741
1994-07-09,100,Tootsee Roll,69 Boyz,100.0,100,741
1995-08-19,28,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,28.0,28,741
2020-01-25,2,Life Is Good,Future Featuring Drake,2.0,2,741
2020-01-18,95,Say So,Doja Cat Featuring Nicki Minaj,95.0,95,741
1995-12-09,57,Wonder,Natalie Merchant,57.0,57,741
1995-01-28,61,I Know,Dionne Farris,61.0,61,741
2005-11-12,88,You're Beautiful,James Blunt,88.0,88,741
2013-10-12,90,Team,Lorde,90.0,90,741
2011-07-09,72,Love You Like A Love Song,Selena Gomez & The Scene,72.0,72,741
1973-04-07,100,Why Me,Kris Kristofferson,100.0,100,741
1995-11-11,85,Be My Lover,La Bouche,85.0,85,741
2015-11-21,83,"Me, Myself & I",G-Eazy x Bebe Rexha,83.0,83,703
2013-06-22,98,Sweater Weather,The Neighbourhood,98.0,98,703
2011-07-02,85,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,85.0,85,703
2019-04-13,87,Suge,DaBaby,87.0,87,703
2000-03-18,63,He Wasn't Man Enough,Toni Braxton,63.0,63,703
2008-11-15,99,Don't Trust Me,3OH!3,95.0,99,703
2008-07-05,18,Disturbia,Rihanna,18.0,18,703
1980-06-14,78,Into The Night,Benny Mardones,78.0,78,703
1992-04-18,99,Just Another Day,Jon Secada,99.0,99,703
2007-03-17,83,Home,Daughtry,83.0,83,703
2016-02-06,79,I Took A Pill In Ibiza,Mike Posner,79.0,79,703
2017-04-22,2,Humble.,Kendrick Lamar,2.0,2,703
2014-01-11,38,Turn Down For What,DJ Snake & Lil Jon,38.0,38,703
2012-01-28,85,Glad You Came,The Wanted,85.0,85,703
2014-06-21,69,I'm Not The Only One,Sam Smith,93.0,69,703
2019-07-06,2,Senorita,Shawn Mendes & Camila Cabello,2.0,2,703
2002-10-05,66,The Game Of Love,Santana Featuring Michelle Branch,66.0,66,703
2016-07-02,87,Broccoli,D.R.A.M. Featuring Lil Yachty,87.0,87,703
1999-08-28,75,Back At One,Brian McKnight,75.0,75,703
2011-11-12,64,Stronger (What Doesn't Kill You),Kelly Clarkson,58.0,64,703
2006-03-18,98,I Write Sins Not Tragedies,Panic! At The Disco,98.0,98,703
2015-01-24,98,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,98.0,98,703
2005-09-03,99,Because Of You,Kelly Clarkson,99.0,99,703
2011-09-17,82,Good Feeling,Flo Rida,77.0,82,703
1998-10-03,82,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,82.0,82,703
2018-12-15,6,Going Bad,Meek Mill Featuring Drake,6.0,6,703
2017-12-30,61,Never Be The Same,Camila Cabello,71.0,61,701
2020-12-19,63,Without You,The Kid LAROI,63.0,63,698
1996-07-06,65,My Boo,Ghost Town DJ's,65.0,65,666
2005-08-20,85,My Humps,The Black Eyed Peas,85.0,85,666
2012-01-07,57,Wild Ones,Flo Rida Featuring Sia,57.0,57,666
1994-06-18,70,When Can I See You,Babyface,70.0,70,666
1998-03-28,15,All My Life,K-Ci & JoJo,15.0,15,666
2006-09-23,95,Walk It Out,Unk,95.0,95,666
2007-10-13,86,Our Song,Taylor Swift,86.0,86,666
2008-11-29,69,Gives You Hell,The All-American Rejects,69.0,69,666
2014-11-15,18,Blank Space,Taylor Swift,18.0,18,666
2016-02-13,9,Work,Rihanna Featuring Drake,9.0,9,666
1993-09-18,92,All That She Wants,Ace Of Base,92.0,92,666
2006-07-22,90,SexyBack,Justin Timberlake,90.0,90,666
2012-10-27,3,I Knew You Were Trouble.,Taylor Swift,3.0,3,666
2010-06-19,100,Animal,Neon Trees,100.0,100,666
2012-10-20,34,Locked Out Of Heaven,Bruno Mars,34.0,34,666
2015-02-07,82,Worth It,Fifth Harmony Featuring Kid Ink,92.0,82,666
2016-02-06,96,7 Years,Lukas Graham,96.0,96,666
2011-03-26,59,Crazy Girl,Eli Young Band,59.0,59,666
1986-03-01,95,Where Are You Now?,Jimmy Harnen With Synch,95.0,95,666
2014-06-28,46,Don't,Ed Sheeran,46.0,46,666
1995-06-24,87,Kiss From A Rose,Seal,87.0,87,666
2014-02-01,82,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,82.0,82,666
2016-04-23,21,One Dance,Drake Featuring WizKid & Kyla,21.0,21,666
2015-08-22,66,Hotline Bling,Drake,66.0,66,666
2013-08-10,53,Burn,Ellie Goulding,99.0,53,666
2018-02-03,1,God's Plan,Drake,1.0,1,666
2011-08-27,75,Ni**as in Paris,Jay Z Kanye West,75.0,75,666
2003-10-25,75,The First Cut Is The Deepest,Sheryl Crow,75.0,75,666
2004-10-23,97,Let Me Love You,Mario,97.0,97,666
1995-07-08,90,Roll To Me,Del Amitri,90.0,90,666
1995-08-19,90,Breakfast At Tiffany's,Deep Blue Something,90.0,90,666
2013-11-30,93,Best Day Of My Life,American Authors,93.0,93,666
2002-08-10,99,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,99.0,99,666
2010-10-16,81,Grenade,Bruno Mars,81.0,81,666
2007-04-07,95,Who Knew,P!nk,95.0,95,666
1995-10-14,22,Name,Goo Goo Dolls,22.0,22,666
